DOI;Abstract
10.31637/epsir-2026-1898;Introduction: Urban regeneration in Latin America has become established as a strategy for reversing socio-spatial fragmentation and neighborhood deterioration. Methodology: A qualitative-comparative analysis of ten representative cases in diverse contexts was developed, organizing the evaluation into four categories: local development, urban metabolism, connectivity, and green infrastructure. Results: It was identified that sustained community participation strengthens the appropriation of space and social cohesion; efficient water and waste management, together with nature-based solutions, improves the microclimate and resilience; and pedestrian and bicycle connectivity links neighborhood networks and access to services. Discussion: Successful cases combine collaborative governance, environmental education, and sustainable mobility; however, challenges remain in terms of scaling up, territorial equity, and impact monitoring. Conclusions: Effective urban regeneration requires comprehensive approaches that integrate citizen participation, environmental sustainability, and mobility, incorporating gender and care criteria to ensure equitable benefits. Replicable guidelines are proposed for intermediate cities in the region aimed at consolidating local economies, strengthening green infrastructure, and improving quality of life. © 2025 Elsevier B.V., All rights reserved.
10.1038/s42949-024-00190-9;In this paper, we use a decolonial lens to reflect on a place-based transdisciplinary Nature-based Solutions (NbS) research project that focussed on the multifunctional retrofitting of a stormwater detention pond through coproduction in Mitchells’ Plain, Cape Town. We find that stormwater ponds represent promising yet contested leverage points for coproducing NbS towards water resilience in Cape Town. We also find that ‘scaling deep at the margin’ is an important initial condition for experimenting with NbS in contexts of deep difference. Here resistance and desire are central dynamics that may help rework the unjust power asymmetries in the post-apartheid city. Researchers need not foreclose the possibilities of failure in transdisciplinary NbS experiments when resistance is encountered, instead they should explore the generative insights that may result from failure. We conclude that sustainability transitions in the Global South may be more productively understood as contested, seldom-complete endeavours in which justice remains the goal. © 2025 Elsevier B.V., All rights reserved.
10.1038/s41598-025-16693-z;Nature-based solutions (NbS) can mitigate the climate crisis and provide co-benefits to biodiversity and human well-being. We identified opportunities for NbS in the US by mapping both critical habitat for birds under a changing climate and carbon stocks and sinks. We then investigated the alignment of these locations with areas important for human well-being and land-dependencies. Finally, we identified High Priority NbS areas that align with irrecoverable carbon to focus conservation efforts on places with significant long-term carbon storage potential. Although ~ 30% of US lands have some protection, < 3% of protected US lands align with priorities for birds, carbon, and human well-being. Of the 312 million acres of priority areas for birds, carbon, and human well-being identified, 71% lack legal protection or formal conservation plans (14% of US lands). Targeting such areas for NbS conservation and restoration would help achieve equitable climate benefits by guiding conservation investments to marginalized communities, while also ensuring maintenance of lands that are critical for biodiversity tracking a changing climate. At least 80% of all birds, carbon, and human well-being priorities co-occur with local communities who have cultural and socioeconomic ties to the land, making it imperative to work with these communities to achieve successful conservation outcomes. © 2025 Elsevier B.V., All rights reserved.
10.1016/j.nbsj.2025.100271;Urban climate change threatens rapidly growing cities, which are responsible for 60–75% of global greenhouse gas emissions. These cities face risks from urban heat islands (UHI) effects, extreme weather events, and socio-economic inequalities. Despite current research attention, a comprehensive synthesis of trends, knowledge gaps, and future directions remains limited. This study addresses this gap by conducting a dual-method analysis of 489 Scopus-indexed publications (2004–2024) using Bibliometrix and VOSviewer software. The findings revealed exponential publication growth (21.84% annual rate), driven by post-2015 climate agreements, with thematic evolution from foundational climate science to solution-oriented governance, nature-based solutions (NbS), and justice frameworks. Six clusters emerged: UHI dynamics, governance and equity, NbS integration, infrastructure resilience, sectoral adaptations, and regional inequalities. Although motor themes like urban adaptation and UHI dominate, niche areas (health impacts, urban climate resilience) and geographic inequities persist, with a limited representation of African and Latin American research despite high vulnerability. Key advances include methodological innovations in remote sensing, participatory governance models, and recognition of migrants’ climate marginality. However, fragmented institutional coordination, epistemic injustices in NbS implementation, and policy-replication challenges hinder progress. This review calls for equity-focused, interdisciplinary, and South-South collaborations to better inform inclusive, resilient urban climate strategies. © 2025 Elsevier B.V., All rights reserved.
10.1038/s43247-025-02706-2;Market-based instruments, including competitive tenders, are central to funding global environmental restoration and management projects. Recently, tenders have been utilised to fund Nature-based Solutions schemes for Natural Flood Management, with the explicit purpose of achieving co-benefits; flood management and reducing inequities. While multiple studies consider the efficacy of Nature-based Solutions for tackling inequities, no prior research has quantified whether the resource allocation for these projects has been conducted equitably. We analyse two national natural flood management programmes funded through competitive tenders in England to explore who benefits by considering the characteristics of projects, including socio-economic, geographical (e.g. rurality) and flood risk dynamics. Our results suggest that inequity occurs at both the application and funding stages of Nature-based Solutions projects for flood risk management. This reflects wider international challenges of using market-based instruments for environmental resource allocation. Competitive tenders have the potential to undermine the equitable benefits of Nature-based Solutions. © 2025 Elsevier B.V., All rights reserved.
10.1038/s42949-025-00261-5;Trade-offs in nature-based solutions are increasingly recognized, with novel research interrogating their justice implications. Yet, these trade-offs and justice implications remain entrenched in an anthropocentric orientation, which is problematic in ecological and ethical terms. We discuss four common assumptions on trade-offs in NBS (instrumentalism, neutrality of science, collaborative consensus, and unitemporality) and rethink them through a multispecies justice lens, maintaining that dealing with trade-offs is a form of interspecies politics. © 2025 Elsevier B.V., All rights reserved.
10.1016/j.nbsj.2025.100261;The potential of nature-based solutions (NBS) to support transformative change is gaining wide attention. NBS are attractive to policy- and decision-makers because they can generate biodiversity gains, alleviate poverty, mitigate climate change impacts, promote local economic opportunities, offset biodiversity loss and advance efforts towards social justice. This paper considers a set of urban NBS mainstreaming tools for the City of Dar es Salaam, Tanzania, developed within the context of a grant-funded project. The development and ‘performance’ of these tools are analysed, in terms of their potential to support transformative capacity. This qualitative practice review shows that the NBS tools supported transformative capacity development components such as effective engagement of intermediaries and co-production of knowledge. Multiple entry points for transformative capacity and opportunities for iterative reflection and action are ideal for supporting transformative capacities during the course of a typical project. However, a deliberate approach to capacity enhancement is necessary to achieve more targeted outcomes for urban transformation by applying NBS tools. Without purposefully planning for capacity enhancement, positive outcomes may be present but fortuitous, undermining the potential for NBS mainstreaming to lay foundations for transformative change. This critical review of NBS practice suggests that purposeful incorporation of transformative capacity into project design and practice, including enabling conditions for practitioners and funders, is key to directing transformation through NBS. © 2025 Elsevier B.V., All rights reserved.
10.1038/s42949-025-00252-6;In response to climate change, cities are increasingly implementing nature-based solutions (NbS) like schoolyard greening. This study investigates the Parisian OASIS program—a large-scale initiative to renature schoolyards—through arthropod biodiversity surveys and interviews with 21 stakeholders. Findings reveal that green schoolyards host diverse arthropod communities, comparable to those in urban green spaces, contributing to ecological connectivity and multispecies justice. However, realizing their full potential requires significant shifts in urban governance, long-term management, and inclusive social appropriation. Justice is key: ensuring all school communities—especially marginalized one—benefit equally from green infrastructure. The success of these NbS depend on biodiversity-informed practices and sustained engagement from educators, students, families, and city officials. By integrating justice into design and implementation, green schoolyards can become transformative spaces for more equitable and inclusive NbS in urban environments. © 2025 Elsevier B.V., All rights reserved.
10.1038/s41598-025-07578-2;Urban Green Spaces (UGS) are critical for fostering ecological sustainability and social equity in rapidly urbanizing cities like Islamabad, Pakistan. This study aimed to comprehensively map and classify Islamabad’s UGS, identify spatial disparities, and evaluate their ecological, recreational, and social functions. The research also proposed sustainable strategies for managing UGS to address urban challenges, including climate adaptation, biodiversity loss, and social inequity. The study developed a detailed spatial map of Islamabad’s UGS using Geographic Information Systems (GIS) and high-resolution satellite imagery. Seven typologies were categorized and analyzed, including parks, playgrounds, institutional green spaces, and waterways. Field surveys and random sampling validated the thematic maps, achieving an accuracy rate of 95.68% based on statistical metrics like Kappa coefficients. The study revealed significant disparities in UGS distribution. Wealthier zones had larger, well-maintained green spaces, while denser areas lacked accessible and functional UGS. Recreational spaces, institutional greenery, and waterways played a vital role in enhancing biodiversity, urban aesthetics, and community well-being, though many remain underutilized or degraded. Institutional green spaces contributed significantly to urban sustainability, comprising 17.05 km² of the total UGS area. The research highlights UGS as an essential Nature-Based Solution (NBS) for addressing urban challenges like heat islands, stormwater management, and social inequalities. The findings serve as a model for other rapidly urbanizing cities seeking ecological and social balance. © 2025 Elsevier B.V., All rights reserved.
10.1016/j.nbsj.2025.100244;Human activities and climate change drive the degradation of marine ecosystems, which provide essential services such as carbon sequestration, coastal protection, and fisheries. This loss amplifies societal challenges, including climate change mitigation, disaster risk reduction, and socio-economic vulnerability. Nature-based Solutions (NbS) offer a strategic approach to address these challenges by protecting, managing, and restoring coastal ecosystems, enhancing biodiversity and human well-being. Despite growing recognition of NbS, large-scale implementation remains hindered by funding constraints, policy integration barriers, and difficulty scaling effective strategies. Here, we present a systematic literature review investigating these factors in marine ecosystems to improve our understanding of investment motivations and co-interventions. We analyzed 39 case studies of NbS interventions and 32 studies on implementation opportunities and barriers. Our findings indicate that ecosystem restoration is the most prevalent NbS intervention in marine systems, often initiated in response to extreme climate events and disaster risk reduction. However, successful implementation frequently requires complementary strategies, such as income diversification, to reduce anthropogenic pressures and enhance livelihood resilience. Moreover, we identify synergies between addressing societal challenges and promoting ecosystem recovery, offering valuable insights for managers and researchers. To scale NbS effectively, barriers related to financing, policy integration, and technical expertise must be addressed. Our findings highlight the need for integrated, adaptive solutions linking ecological restoration with community-based management and sustainable economic development, ensuring resilience and social justice. Future research should explore innovative marine NbS approaches that support human well-being and acknowledge nature's intrinsic value. © 2025 Elsevier B.V., All rights reserved.
